lcs_id,lcs_description,s5_type,s5_id,s5_latitude,s5_longitude,lcs_latitude,lcs_longitude,lcs_date,lcs_time,usable_length_bin_minutes,usable_length_bin_seconds,usable_length_bin_frames_at_30fps,usable_length_all_minutes,usable_length_all_seconds,usable_length_all_frames_at_30fps,onemin_offset_bin_minutes,onemin_offset_bin_seconds,onemin_offset_bin_frames_at_30fps,insitu_spl_full_L,insitu_spl_full_R,insitu_spl_full_LR_eavg,insitu_spl_full_GRAS146AE,insitu_spl_1min_L,insitu_spl_1min_R,insitu_spl_1min_LR_eavg,insitu_spl_1min_GRAS146AE,gain_at_insitu_spl_LR,gain_at_insitu_spl_GRAS146E,link_full_youtube,link_full_insta360,link_full_sqobold_all,link_full_sqobold_bin,link_full_sqobold_spl,link_full_zylia_19ch_part01,link_full_zylia_19ch_part02,link_full_zylia_02ch,link_1min_youtube,link_1min_insta360,link_1min_sqobold_all,link_1min_sqobold_bin,link_1min_sqobold_spl,link_1min_zylia_19ch,link_1min_zylia_02ch
S0011,Changi Airport Terminal 1 (Information Counter),F&E,14,1.363875914,103.9914004,1.360501,103.990074,20220929,1326,23,43,0,23,43,0,6,56,0,65.51,65.98,65.75135491,63.02,68.59,67.12,67.9169,65,6.261284,4.552673,https://youtu.be/4Lpm3qYoaUw,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111158?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110474?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111147?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111146?gbrecs=true,https://youtu.be/OUSOOjNhYlY,https://researchdata.ntu.edu.sg/api/access/datafile/111087?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111297?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110339?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110282?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110349?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110162?gbrecs=true
S0012,Changi Airport Terminal 1 (Arrival Gate),C&R,10,1.364476558,103.9915721,1.360490,103.990580,20220929,1403,27,57,8,23,37,14,4,40,0,64.56,62.8,63.7685526,61.04,67.99,69.12,68.59165,64.66,6.183329,4.489562,https://youtu.be/lIDs8Q5c3uw,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111159?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110492?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111162?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111149?gbrecs=true,https://youtu.be/tDLKe5j4eRo,https://researchdata.ntu.edu.sg/api/access/datafile/111101?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111295?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110382?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110151?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110363?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110277?gbrecs=true
S0013,Bedok Interchange Hawker Centre,C&R,6,1.324737167,103.9306484,1.324892,103.930391,20220929,1620,24,21,22,24,21,22,6,59,0,68.44,67.59,68.03576212,65.02,68.92,67.79,68.39165,65.4,6.03841,4.246277,https://youtu.be/56aZoFDTfEM,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111152?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110473?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111161?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111139?gbrecs=true,https://youtu.be/Bv54AFFFn-w,https://researchdata.ntu.edu.sg/api/access/datafile/111055?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111350?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110188?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110187?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110364?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110340?gbrecs=true
S0014,Teban Neighbourhood Park,B&L,17,1.32112354,103.7405868,1.320978,103.740566,20221004,1130,24,32,13,22,17,12,19,25,0,63.11,62.51,62.8203534,61.99,75.19,74.74,74.97083,74.41,8.3219,7.445132,https://youtu.be/Ukk7otXXx0g,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111143?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110486?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111145?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111151?gbrecs=true,https://youtu.be/eLPL-oiQmx0,https://researchdata.ntu.edu.sg/api/access/datafile/111089?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111328?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110257?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110180?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110236?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110189?gbrecs=true
S0015,Jurong East MRT Station,F&E,4,1.333243872,103.7414451,1.333402,103.742122,20221004,1239,24,18,2,24,18,2,7,45,0,71.08,70.9,70.99093248,68.54,72.32,72.17,72.24565,69.98,6.914896,5.188829,https://youtu.be/wSfpl6pQL3Q,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111142?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110515?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111144?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111155?gbrecs=true,https://youtu.be/o76Z4LxFGJw,https://researchdata.ntu.edu.sg/api/access/datafile/111358?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111340?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110268?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110333?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110178?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110264?gbrecs=true
S0016,Lim Chu Kang Road,B&L,16,1.391549335,103.6987229,1.372323,103.694445,20221011,1046,23,32,27,23,32,27,1,43,0,71.34,73.43,72.50952924,68.68,70.51,73.75,72.42539,68.42,6.559097,4.197851,https://youtu.be/6hKaO59BjmI,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111157?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110497?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111140?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111160?gbrecs=true,https://youtu.be/O6yR4wC7h0s,https://researchdata.ntu.edu.sg/api/access/datafile/111052?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111298?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110362?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110144?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110183?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110233?gbrecs=true
S0017,Intersection of Tuas West Drive & Pioneer Road,C&R,12,1.333995645,103.6346393,1.334300,103.634928,20221018,1117,21,55,17,21,55,17,4,23,0,73.71,73.12,73.42501143,70.59,80.08,77.88,79.11784,76.29,6.392366,4.587575,https://youtu.be/ndjeDKXQjKY,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111156?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110470?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111141?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111154?gbrecs=true,https://youtu.be/97213CTRk3w,https://researchdata.ntu.edu.sg/api/access/datafile/111095?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111327?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110317?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110197?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110181?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110241?gbrecs=true
S0018,Sungei Buloh Wetland Reserve (Mangrove Boardwalk),F&E,8,1.446914441,103.7301914,1.4473974,103.7303460,20221108,1152,31,50,4,31,50,4,2,55,0,60.01,60.69,60.36329537,58.08,51.55,55.73,54.12461,50.09,6.003658,4.560119,https://youtu.be/wvCBZzg1RMg,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111150?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110508?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111153?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111148?gbrecs=true,https://youtu.be/acdtDyCbcTc,https://researchdata.ntu.edu.sg/api/access/datafile/111106?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111346?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110302?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110280?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110308?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110245?gbrecs=true
S0019,Sungei Buloh Wetland Reserve (Buloh Besar River),C&T,9,1.441122864,103.7228199,1.445906,103.727592,20221108,1319,23,14,1,23,14,1,18,2,0,56.79,55.71,56.28348554,54.91,58.46,55.32,57.16781,55.71,4.672748,3.989313,https://youtu.be/fmg-9xzQlSI,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111167?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110501?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111188?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111165?gbrecs=true,https://youtu.be/GsKnq0LmOqg,https://researchdata.ntu.edu.sg/api/access/datafile/111104?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111355?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110327?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110260?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110306?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110325?gbrecs=true
S0020,Tuas West Road MRT Station,B&L,5,1.332750479,103.6394783,1.3319689,103.6401685,20221205,1415,31,5,6,31,5,6,11,56,0,80.3,77.16,79.00780823,75.26,89.25,85.11,87.6557,84.55,6.767185,4.320053,https://youtu.be/F965vGIxhbo,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111173?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110494?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111168?gbrecs=true,NIL,NIL,https://researchdata.ntu.edu.sg/api/access/datafile/111166?gbrecs=true,https://youtu.be/JydMg0ojMGg,https://researchdata.ntu.edu.sg/api/access/datafile/111112?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/111315?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110372?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110265?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110322?gbrecs=true,https://researchdata.ntu.edu.sg/api/access/datafile/110263?gbrecs=true
